398,Brad Pitt,Valkyrie,Drama,
399,Reese Witherspoon,Waters for elephants,Drama,
400,Sigourney Weaver,Avatar,Fantasy,
401,Alex Pettyfer,Beastly,Fantasy,
402,Emmy Rossun,Beautiful creatures,Fantasy,
403,Cate Blanchett,Cinderella,Fantasy,
404,Sam Worthington,Clash of the titans,Fantasy,
405,Shailene Woodley,Divergence 1,Fantasy,
406,Shailene Woodley,Divergence 2,Fantasy,
407,Shailene Woodley,Divergence 3,Fantasy,
408,Eddie Redmayne,Fantastic Beasts and Where to Find Them,Fantasy,
409,Jeremy Renner,Hansel and Gretel,Fantasy,
410,Daniel Radcliffe,Harry Potter: Chamber of Secrets,Fantasy,
411,Daniel Radcliffe,Harry Potter: Deathly Hallows - Part 1,Fantasy,
412,Daniel Radcliffe,Harry Potter: Deathly Hallows - Part 2,Fantasy,
413,Daniel Radcliffe,Harry Potter: Goblet of fire,Fantasy,
414,Daniel Radcliffe,Harry Potter: Half blood prince,Fantasy,
415,Daniel Radcliffe,Harry Potter: Order of the Phoenix,Fantasy,
416,Daniel Radcliffe,Harry Potter: Philosophers stone,Fantasy,
417,Daniel Radcliffe,Harry Potter: Prisoner of Azkaban,Fantasy,
418,Christopher Lambert,Highlander,Fantasy,
419,Ian McKellen,Hobbit 1,Fantasy,
420,Ian McKellen,Hobbit 2,Fantasy,
421,Ian McKellen,Hobbit 3,Fantasy,
422,Jennifer Lawrence,Hunger games,Fantasy,
423,Jennifer Lawrence,Hunger games 2,Fantasy,
424,Jennifer Lawrence,Hunger games 3,Fantasy,
425,Alex Pettyfer,I am number 4,Fantasy,
426,Aaron Eckhart,I Frankenstein,Fantasy,
427,Nicolas Hoult,Jack the giantslayer,Fantasy,
428,Taylor Kitsch,John Carter,Fantasy,
429,Julia Roberts,JR: Mirror mirror,Fantasy,
430,Bill Murray,Jungle Book,Fantasy,
431,Sam Neill,Jurassic Park 1,Fantasy,
432,Sam Neill,Jurassic Park 2,Fantasy,
433,Sam Neill,Jurassic Park 3,Fantasy,
434,Sam Neill,Jurassic Park 4,Fantasy,
435,Clive Owen,King Arthur,Fantasy,
436,Jack Black,King Kong,Fantasy,
437,Samuel Jackson,King Kong: Skull Island,Fantasy,
438,Heath Ledger,Knights tale,Fantasy,
439,Angelina Jolie,Lara Croft 1,Fantasy,
440,Angelina Jolie,Lara Croft 2,Fantasy,
441,Sean Connery,League of extraordinary men,Fantasy,
442,Elijah Wood,Lord of the Rings 1,Fantasy,
443,Elijah Wood,Lord of the Rings 2,Fantasy,
444,Elijah Wood,Lord of the Rings 3,Fantasy,
445,Dylan OBrien,Maze runner,Fantasy,
446,Dylan OBrien,Maze runner 2,Fantasy,
447,Dylan OBrien,Maze runner 3,Fantasy,
448,Lily Collins,Mortal Instruments 1,Fantasy,
449,Georgie Henley,Narnia 1,Fantasy,
450,Georgie Henley,Narnia 2,Fantasy,
451,Georgie Henley,Narnia 3,Fantasy,
453,Disney,Oz the great and powerful,Fantasy,
454,Pierce Brosnan,Percy Jackson 1,Fantasy,
455,Pierce Brosnan,Percy Jackson 2,Fantasy,
456,Johnny Depp,Pirates of the Caribbean 1,Fantasy,
457,Johnny Depp,Pirates of the Caribbean 2,Fantasy,
458,Johnny Depp,Pirates of the Caribbean 3,Fantasy,
459,Johnny Depp,Pirates of the Caribbean 4,Fantasy,
460,Johnny Depp,Pirates of the Caribbean 5,Fantasy,
461,Jake Gyllenhaal,Prince of Persia,Fantasy,
462,Amanda Seyfried,Red riding hood,Fantasy,
463,Vin Diesel,Riddick,Fantasy,
464,Vin Diesel,Riddick: Chronicles,Fantasy,
465,Vin Diesel,Riddick: Pitch Black,Fantasy,
466,Russell Crowe,Robin Hood,Fantasy,
467,Charlize Theron,Snow White and the Huntsman 1,Fantasy,
468,Charlize Theron,Snow White and the Huntsman 2,Fantasy,
469,Robert de Niro,Stardust,Fantasy,
470,Jeff Bridges,Tron,Fantasy,
471,Kristen Stewert,Twilight: 1,Fantasy,
472,Kristen Stewert,Twilight: 2,Fantasy,
473,Kristen Stewert,Twilight: 3,Fantasy,
474,Kristen Stewert,Twilight: 4,Fantasy,
475,Kristen Stewert,Twilight: 5,Fantasy,
476,Sarah Hyland,Vampire Academy,Fantasy,
477,Benjamin Walker,Vampire Hunter: Abraham Lincoln,Fantasy,
478,Hugh Jackman,Van Helsing,Fantasy,
479,Sam Worthington,Wrath of the titans,Fantasy,
480,Antonio Banderas,Zorro 1,Fantasy,
481,Antonio Banderas,Zorro 2,Fantasy,
482,Johnny Depp,A Nightmare in Elm Street,Horror,
483,Alfred Hitchcock,Birds,Horror,
484,Alfred Hitchcock,Family plot,Horror,
485,George Clooney,From dusk till dawn 1,Horror,
486,George Clooney,From dusk till dawn 2,Horror,
487,Daniel Kaluuya,Get Out,Horror,
488,Jamie Lee Curtis,Halloween,Horror,
489,Kyl Gallner,Haunting in Conneticut,Horror,
490,Doug Bradley,Hellraiser,Horror,
491,Lin Shaye,Insidious,Horror,
492,Bill Skarsgard,It,Horror,
493,Maika Monroe,It Follows,Horror,
494,Per Ragnar,Let the Right One In,Horror,
495,Micah Sloat,Paranormal Activity,Horror,
496,Justin Lowe,Poltergeist,Horror,
497,Milla Jovovich,Resident Evil 1,Horror,
498,Milla Jovovich,Resident Evil 2,Horror,
499,Milla Jovovich,Resident Evil 3,Horror,
500,Milla Jovovich,Resident Evil 4,Horror,
501,Milla Jovovich,Resident Evil 5,Horror,
502,Mia Farrow,Rosemarys Baby,Horror,
503,David Arquette,Scream,Horror,
504,Ethan Hawke,Sinister,Horror,
505,Adrien Broody,Splice,Horror,
506,Essie Davis,The Babadook,Horror,
507,Joshua Leonard,The Blair Witch Project,Horror,
508,Vera Farmiga,The Conjuring,Horror,
509,Vera Farmiga,The Conjuring 2,Horror,
510,Ethan Embry,The Devils Candy,Horror,
511,Linda Blair,The Exorcise,Horror,
512,Ethan Hawke,The Purge,Horror,
513,Jack Nicholson,The Shining,Horror,
514,Marilyn Burns,The Texas Chainsaw Massacre,Horror,
515,Kate Beckinsale,Underworld 3,Horror,
516,Brad Pitt,World War Z,Horror,
517,Lady Gaga,A Star Is Born,Musical,
518,Jamie Foxx,Annie,Musical,
519,Cher,Burlesque,Musical,
520,Liza Minneli,Cabaret,Musical,
521,Catherine Zeta Jones,Chicago,Musical,
522,Patrick Swayze,Dirty dancing,Musical,
523,Beyonce,Dreamgirls,Musical,
524,Amy Adams,Enchanted,Musical,
525,Kevin Bacon,Footloose,Musical,
526,Barbra Streisand,Funny Girl,Musical,
527,Olivia Newton John,Grease,Musical,
528,John Travolta,Hairspray ,Musical,
529,Zack Efron,High Scool Musical 2,Musical,
530,Meryl Streep,Into The Woods,Musical,
531,Elvis Presley,Jailhouse Blues,Musical,
532,Emma Stone,La La Land,Musical,
533,Hugh Jackman,Les Miserables,Musical,
534,Pierce Brosnan,Mamma Mia,Musical,
535,Amanda Seyfried,Mamma Mia Here We Go Again,Musical,
536,Julie Andrews,Mary Poppins,Musical,
537,Nicole Kidman,Moulin Rouge!,Musical,
538,Gordon MacRae,Oklahoma!,Musical,
539,Ron Moody,Oliver,Musical,
540,Tom Cruise,Rock of ages,Musical,
541,Richard OBrien,Rocky Horror,Musical,
542,John Travolta,Saturday night fever,Musical,
543,Julie Andrews,Sound of music,Musical,
544,Michael Pare,Streets of fire,Musical,
545,Johnny Depp,Sweeney Todd,Musical,
